markers/latitude,markers/longitude,markers/mcnt,markers/nb,markers/type,markers/tema,markers/kung,markers/irm1
33.5134606,126.5490613,,N,gb,bm,korea/gbm/grjeju,국립제주박물관
36.6782231,126.1482171,,N,gb,bm,korea/gbm/grhymhj,국립해양문화재연구소
35.7452923,127.0469836,,N,gb,bm,korea/gbm/gssc,귀신사
34.9251755,127.3396722,,N,gb,bm,korea/gbm/gdsm,금둔사
35.8379348,129.4034536,,N,gb,bm,korea/gbm/grsc,기림사
37.4937443,126.917005,,N,gb,bm,korea/gbm/gsc,기상청
38.1239233,128.6274578,,N,gb,bm,korea/gbm/nss,낙산사
35.4068938,127.3677111,,N,gb,bm,korea/gbm/numbsj,남원 만복사지
36.4305898,128.1060858,,N,gb,bm,korea/gbm/njs,남장사
35.6175519,126.5872529,,N,gb,bm,korea/gbm/nsos,내소사
34.6390414,127.4143354,,N,gb,bm,korea/gbm/ngs,능가사
35.0468427,126.698591,,N,gb,bm,korea/gbm/dbs,다보사
36.833182,126.5688077,,N,gb,bm,korea/gbm/djagsj,당진 안국사지
36.3357448,128.2420221,,N,gb,bm,korea/gbm/dds,대둔사
35.6563112,128.9360571,,N,gb,bm,korea/gbm/dbis,대비사
34.9611928,127.1326336,,N,gb,bm,korea/gbm/dsusc,대원사
36.3717224,127.3238671,,N,gb,bm,korea/gbm/djss,대전선사박물관
35.2670216,127.2574747,,N,gb,bm,korea/gbm/drs,도림사
36.0165725,129.1598628,,N,gb,bm,korea/gbm/ihc,독락당
37.6201143,127.1280211,,N,gb,bm,korea/gbm/dogr,동구릉
36.3533078,127.2200631,,N,gb,bm,korea/gbm/dhas,동학사
35.9930456,128.7041815,,N,gb,bm,korea/gbm/dhos,동화사
36.5589456,127.0122986,,N,gb,bm,korea/gbm/mgsb,마곡사
37.2885557,127.688233,,N,gb,bm,korea/gbm/mabg,목아불교박물관
36.3171923,126.6933373,,N,gb,bm,korea/gbm/murs,무량사
35.3807487,126.726026,,N,gb,bm,korea/gbm/msus,문수사
34.9385233,126.7812225,,N,gb,bm,korea/gbm/mrsb,미륵사
34.3828914,126.5773392,,N,gb,bm,korea/gbm/mhs,미황사
35.9591536,126.7967517,,N,gb,bm,korea/gbm/bscd,발산초등학교
35.2838292,129.0688895,,N,gb,bm,korea/gbm/muys,범어사
35.629138,127.8113041,,N,gb,bm,korea/gbm/bis,법인사
36.2521928,129.3179233,,N,gb,bm,korea/gbm/bgs,보경사
35.8218105,128.5506445,,N,gb,bm,korea/gbm/bssu,보성선원
37.5907651,127.0311038,,N,gb,bm,korea/gbm/bts,보타사
37.7368348,128.7695401,,N,gb,bm,korea/gbm/bhs,보현사
37.7470824,127.183751,,N,gb,bm,korea/gbm/bssc,봉선사
35.2004869,126.549767,,N,gb,bm,korea/gbm/bgas,불갑사
36.940748,129.2737938,,N,gb,bm,korea/gbm/bysb,불영사
34.9083912,126.8229438,,N,gb,bm,korea/gbm/bhos,불회사
36.9390357,128.4988135,,N,gb,bm,korea/gbm/bros,비로사
35.3212473,127.8998597,,N,gb,bm,korea/gbm/scdssj,산청 단속사지
37.4638153,129.0143596,,N,gb,bm,korea/gbm/shse,삼화사
36.4600094,128.2410482,,N,gb,bm,korea/gbm/sjbmg,상주박물관
37.5509331,126.9410005,,N,gb,bm,korea/gbm/sgd,서강대학교
37.9448591,128.5166137,,N,gb,bm,korea/gbm/sruj,선림원지
34.9960451,127.3305167,,N,gb,bm,korea/gbm/sas,선암사
35.4970666,126.5786471,,N,gb,bm,korea/gbm/suns,선운사
35.4125332,127.3914317,,N,gb,bm,korea/gbm/seuns,선원사
37.5882094,126.9936061,,N,gb,bm,korea/gbm/sgg,성균관대학교
37.5578754,126.9323613,,N,gb,bm,korea/gbm/sros,성룡사
36.2230159,127.2154294,,N,gb,bm,korea/gbm/sjds,성주도씨종중
35.1768619,128.7176756,,N,gb,bm,korea/gbm/sjus,성주사
37.5907788,127.0435023,,N,gb,bm,korea/gbm/sjdo,세종대왕기념사업회
35.9819031,128.5771386,,N,gb,bm,korea/gbm/srsc,송림사
35.8612395,127.9964748,,N,gb,bm,korea/gbm/sda,수도암
37.2975275,127.0358809,,N,gb,bm,korea/gbm/submg,수원역사박물관
37.2826815,127.0190168,,N,gb,bm,korea/gbm/suhs,수원화성박물관
37.6985181,127.9593697,,N,gb,bm,korea/gbm/sts,수타사
37.5459334,126.9646953,,N,gb,bm,korea/gbm/smyj,숙명여자대학교
37.6264823,126.9602193,,N,gb,bm,korea/gbm/sgsd,승가사
37.2974458,127.6615516,,N,gb,bm,korea/gbm/srsb,신륵사
38.1753266,128.4844929,,N,gb,bm,korea/gbm/shsb,신흥사
35.4264522,128.9509112,,N,gb,bm,korea/gbm/shsc,신흥사
35.0393699,126.7118101,,N,gb,bm,korea/gbm/shsh,심향사
37.2610967,127.1074167,,N,gb,bm,korea/gbm/amrpsp,아모레퍼시픽 미술관
37.4178673,126.9176469,,N,gb,bm,korea/gbm/jcsj,안양 중초사지
34.9438526,128.3955732,,N,gb,bm,korea/gbm/anjus,안정사
34.7401243,127.7387649,,N,gb,bm,korea/gbm/trb,여수시
37.2954147,127.6342085,,N,gb,bm,korea/gbm/yjcr,여주 창리
36.5923325,127.2794402,,N,gb,bm,korea/gbm/yehs,연화사
36.158252,127.6105032,,N,gb,bm,korea/gbm/yegus,영국사
35.832231,128.7575693,,N,gb,bm,korea/gbm/yend,영남대학교
36.5381098,128.5174482,,N,gb,bm,korea/gbm/ymg,영모각
36.6591263,128.4617991,,N,gb,bm,korea/gbm/ycdbr,예천 동본리
37.7791626,128.8794946,,N,gb,bm,korea/gbm/ojh,오죽헌시립박물관
35.0801155,128.2623879,,N,gb,bm,korea/gbm/ocs,옥천사
37.5501401,127.5709966,,N,gb,bm,korea/gbm/ymsb,용문사
34.7878104,127.9230909,,N,gb,bm,korea/gbm/ymsc,용문사
36.7313643,128.3694677,,N,gb,bm,korea/gbm/ymsd,용문사
35.7478731,128.520121,,N,gb,bm,korea/gbm/yys,용연사
36.5680479,128.1716324,,N,gb,bm,korea/gbm/sjjcr,용화사
37.3854888,127.1223286,,N,gb,bm,korea/gbm/ugmh,우학문화재단
35.6612542,128.9602774,,N,gb,bm,korea/gbm/ums,운문사
34.9257484,126.879937,,N,gb,bm,korea/gbm/ujs,운주사
34.9582951,128.1537054,,N,gb,bm,korea/gbm/uhs,운흥사
35.527431,129.3087143,,N,gb,bm,korea/gbm/usan,울산박물관
37.68597,126.8047064,,N,gb,bm,korea/gbm/ugsb,원각사
37.7014144,126.7659748,,N,gb,bm,korea/gbm/ugsc,원각사
37.1932552,127.7925963,,N,gb,bm,korea/gbm/gdsj,원주 거돈사지
37.3385018,127.8147007,,N,gb,bm,korea/gbm/hbsj,원주 흥법사지
37.6259016,127.095626,,N,gb,bm,korea/gbm/ugsg,육군사관학교
35.4159859,127.9663501,,N,gb,bm,korea/gbm/ugsd,율곡사
35.3096978,128.2345756,,N,gb,bm,korea/gbm/erbcsj,의령 보천사지
38.1205104,128.3399037,,N,gb,bm,korea/gbm/hgsj,인제 한계사지
35.3747922,129.2329278,,N,gb,bm,korea/gbm/jas,장안사
37.6328589,126.4849063,,N,gb,bm,korea/gbm/jdsb,전등사
35.5412491,128.4886046,,N,gb,bm,korea/gbm/sjrsc,창녕 술정리
36.8721887,127.2133573,,N,gb,bm,korea/gbm/cachsj,천안 천흥사지
35.2727766,127.4760666,,N,gb,bm,korea/gbm/ces,천은사
36.7893981,128.9189705,,N,gb,bm,korea/gbm/crsb,청량사
36.9134354,127.2887626,,N,gb,bm,korea/gbm/crsa,청룡사
36.731034,128.4010503,,N,gb,bm,korea/gbm/crsd,청룡사
36.6440186,127.4714583,,N,gb,bm,korea/gbm/cjgis,청주고인쇄박물관
36.981817,128.7996707,,N,gb,bm,korea/gbm/css,축서사
34.8468407,128.417572,,N,gb,bm,korea/gbm/curs,충렬사
36.6876176,126.6526075,,N,gb,bm,korea/gbm/cues,충의사
35.3156154,128.2620767,,N,gb,bm,korea/gbm/cis,충익사
36.9048186,128.742792,,N,gb,bm,korea/gbm/cungj,충재박물관
36.8214869,128.0950211,,N,gb,bm,korea/gbm/cjmrr,충주 미륵리
37.6455626,126.9785499,,N,gb,bm,korea/gbm/tgs,태고사
36.5669742,128.7316329,,N,gb,bm,korea/gbm/tsm,태사묘
35.1317331,127.3870492,,N,gb,bm,korea/gbm/tas,태안사
36.0013755,128.6411599,,N,gb,bm,korea/gbm/pgs,파계사
37.5168894,127.1859403,,N,gb,bm,korea/gbm/hndsj,하남 동사지
36.0840899,128.7668127,,N,gb,bm,korea/gbm/hgsm,한광사
37.5153901,127.0333289,,N,gb,bm,korea/gbm/hgjs,한국자수박물관
36.9705572,127.4652766,,N,gb,bm,korea/gbm/hdey,한독의약박물관
37.0040503,128.1719791,,N,gb,bm,korea/gbm/hbr,한벽루
35.4733694,128.0000099,,N,gb,bm,korea/gbm/hcyasj,합천 영암사지
37.5678224,126.851023,,N,gb,bm,korea/gbm/hjbmg,허준박물관
37.7860115,128.1467416,,N,gb,bm,korea/gbm/mgr,홍천 물걸리
37.6326488,127.0072692,,N,gb,bm,korea/gbm/hgsk,화계사
37.5330555,126.8481058,,N,gb,bm,korea/gbm/hcbd,화창빌딩
37.8505112,127.1077263,,N,gb,bm,korea/gbm/has,회암사
37.6636737,126.9399131,,N,gb,bm,korea/gbm/hgsb,흥국사
37.5709611,127.009687,,N,gb,bm,korea/gbm/suhijm,흥인지문
37.3368583,127.0392471,,N,gb,bm,korea/gbm/zggyi,보물 9호 용인 서봉사지 현오국사탑비
37.7798958,126.4199323,,N,gb,bm,korea/gbm/zicgh,보물 10호 강화 장정리 오층석탑
37.4117868,127.0353302,,N,gb,bm,korea/gbm/zggeo,보물 11-7호 사인비구 제작 동종 - 의왕청계사동종
37.7739574,126.4357784,,N,gb,bm,korea/gbm/zicgh,보물 11-8호 사인비구 제작 동종 - 강화동종
37.2868582,127.0200833,,N,gb,bm,korea/gbm/zggsu,보물 14호 수원 창성사지 진각국사탑비
37.1034506,127.9268077,,N,gb,bm,korea/gbm/zcncuj,보물 16호 충주 억정사지 대지국사탑비
37.0300448,128.046853,,N,gb,bm,korea/gbm/zcncuj,보물 17호 충주 정토사지 법경대사탑비
36.4106733,126.9530613,,N,gb,bm,korea/gbm/zcncy,보물 18호 청양 서정리 구층석탑
35.4165671,127.6354084,,N,gb,bm,korea/gbm/zjbnu,보물 40호 남원 실상사 백장암 석등
35.4105323,127.4124584,,N,gb,bm,korea/gbm/zjbnu,보물 42호 남원 용담사지 석조여래입상
36.0298432,127.0078136,,N,gb,bm,korea/gbm/zjbisa,보물 45호 익산 연동리 석조여래좌상
35.9971107,127.0616686,,N,gb,bm,korea/gbm/zjbisa,보물 46호 익산 고도리 석조여래입상
35.0368573,126.7228058,,N,gb,bm,korea/gbm/zjnnj,보물 49호 나주 동점문 밖 석당간
36.6928674,128.2945302,,N,gb,bm,korea/gbm/zgbmg,보물 51호 문경 내화리 삼층석탑
36.9479893,128.9140793,,N,gb,bm,korea/gbm/zgbbh,보물 52호 봉화 서동리 동·서 삼층석탑
36.6519899,128.4547711,,N,gb,bm,korea/gbm/zgbyec,보물 53호 예천 개심사지 오층석탑
35.72723,128.2656728,,N,gb,bm,korea/gbm/zgbgr,보물 54호 고령 지산리 당간지주
36.5625307,128.7313037,,N,gb,bm,korea/gbm/zgbad,보물 56호 안동 운흥동 오층전탑
36.4821641,128.6352316,,N,gb,bm,korea/gbm/zgbad,보물 57호 안동 조탑리 오층전탑
36.5720591,128.7178306,,N,gb,bm,korea/gbm/zgbad,보물 58호 안동 안기동 석조여래좌상
36.8196659,128.6180025,,N,gb,bm,korea/gbm/zgbyj,보물 60호 영주 영주동 석조여래입상
35.8334611,129.1758859,,N,gb,bm,korea/gbm/zgbgjb,보물 62호 경주 서악동 마애여래삼존입상
35.7862331,129.2054983,,N,gb,bm,korea/gbm/zgbgja,보물 63호 경주 배동 석조여래삼존입상
35.8279722,129.1848432,,N,gb,bm,korea/gbm/zgbgjb,보물 65호 경주 서악동 삼층석탑
35.8320435,129.223913,,N,gb,bm,korea/gbm/zgbgjd,보물 66호 경주 석빙고
35.8232371,129.1696967,,N,gb,bm,korea/gbm/zgbgjb,보물 67호 경주 효현동 삼층석탑
35.8362815,129.2109909,,N,gb,bm,korea/gbm/zgbgjd,보물 68호 경주 황남동 효자 손시양 정려비
35.8190996,129.2423027,,N,gb,bm,korea/gbm/zgbgjc,보물 69호 경주 망덕사지 당간지주
35.8250166,129.1894726,,N,gb,bm,korea/gbm/zgbgjb,보물 70호 경주 서악동 귀부
35.2552093,128.4286431,,N,gb,bm,korea/gbm/zgnha,보물 71호 함안 대산리 석조삼존상
35.5410901,128.5081305,,N,gb,bm,korea/gbm/zgncn,보물 75호 창녕 송현동 마애여래좌상
37.8921836,127.7212488,,N,gb,bm,korea/gbm/zgucc,보물 76호 춘천 근화동 당간지주
37.8853792,127.7240268,,N,gb,bm,korea/gbm/zgucc,보물 77호 춘천 칠층석탑
37.6893773,127.8842941,,N,gb,bm,korea/gbm/zguhc,보물 79호 홍천 희망리 삼층석탑
37.6876299,127.8828489,,N,gb,bm,korea/gbm/zguhc,보물 80호 홍천 희망리 당간지주
37.7608002,128.901193,,N,gb,bm,korea/gbm/zgugr,보물 82호 강릉 대창리 당간지주
37.7564732,128.9037488,,N,gb,bm,korea/gbm/zgugr,보물 83호 강릉 수문리 당간지주
37.753603,126.8653873,,N,gb,bm,korea/gbm/zggpj,보물 93호 파주 용미리 마애이불입상
36.7920725,128.0231143,,N,gb,bm,korea/gbm/zcbgs,보물 97호 괴산 원풍리 마애이불병좌상
36.9693009,127.9291177,,N,gb,bm,korea/gbm/zcncuj,보물 98호 충주 철조여래좌상
35.1483267,126.9081119,,N,gb,bm,korea/gbm/zgjng,보물 109호 전 광주 성거사지 오층석탑
35.148877,126.9331141,,N,gb,bm,korea/gbm/zgjdg,보물 110호 광주 지산동 오층석탑
35.1853866,126.9827522,,N,gb,bm,korea/gbm/zjndy,보물 111호 담양 개선사지 석등
35.0244437,127.6077533,,N,gb,bm,korea/gbm/zjngy,보물 112호 광양 중흥산성 삼층석탑
35.6431336,128.6148238,,N,gb,bm,korea/gbm/zgbcd,보물 113호 청도 봉기리 삼층석탑
36.5680559,128.7171098,,N,gb,bm,korea/gbm/zgbad,보물 114호 안동 평화동 삼층석탑
36.6064417,128.7061351,,N,gb,bm,korea/gbm/zgbad,보물 115호 안동 이천동 마애여래입상
36.9118185,128.5823329,,N,gb,bm,korea/gbm/zgbyj,보물 116호 영주 석교리 석조여래입상
36.4448689,128.2236024,,N,gb,bm,korea/gbm/zgbsaj,보물 117호 상주 화달리 삼층석탑
36.4167035,128.1617201,,N,gb,bm,korea/gbm/zgbsaj,보물 119호 상주 복용동 석조여래좌상
35.8576535,129.2298009,,N,gb,bm,korea/gbm/zgbgjd,보물 121호 경주 굴불사지 석조사면불상
35.8039358,129.1723375,,N,gb,bm,korea/gbm/zgbgjb,보물 122호 경주 율동 마애여래삼존입상
35.7931935,129.2438518,,N,gb,bm,korea/gbm/zgbgja,보물 124호 경주 남산동 동·서 삼층석탑
35.8456531,129.2014907,,N,gb,bm,korea/gbm/zgbgjd,보물 127호 경주 삼랑사지 당간지주
35.7350371,128.1519933,,N,gb,bm,korea/gbm/zgnhc,보물 129호 합천 월광사지 동·서 삼층석탑
35.1287816,126.9701441,,N,gb,bm,korea/gbm/zgjdg,보물 131호 광주 증심사 철조비로자나불좌상
35.8118555,129.2357752,,N,gb,bm,korea/gbm/zgbgjc,보물 136호 경주 남산 미륵곡 석조여래좌상
37.5731264,127.0182146,,N,gb,bm,korea/gbm/zsujr,보물 142호 서울 동관왕묘
35.4917424,128.7553018,,N,gb,bm,korea/gbm/zgnmy,보물 147호 밀양 영남루
36.4517106,127.122626,,N,gb,bm,korea/gbm/zcngj,보물 150호 공주 반죽동 당간지주
35.2475672,128.3008517,,N,gb,bm,korea/gbm/zgnha,보물 159호 함안 방어산 마애약사여래삼존입상
37.6076405,126.4451851,,N,gb,bm,korea/gbm/zicgh,보물 161호 강화 정수사 법당
37.9863956,127.8090132,,N,gb,bm,korea/gbm/zgucc,보물 164호 춘천 청평사 회전문
35.643773,126.7936502,,N,gb,bm,korea/gbm/zjbje,보물 167호 정읍 은선리 삼층석탑
35.8320723,129.2815199,,N,gb,bm,korea/gbm/zgbgjc,보물 168호 경주 천군동 동·서 삼층석탑
35.5325531,129.2379513,,N,gb,bm,korea/gbm/zusuj,보물 173호 울주 망해사지 승탑
37.57563,126.9676157,,N,gb,bm,korea/gbm/zsujr,보물 177호 사직단 대문
36.565064,128.7446143,,N,gb,bm,korea/gbm/zgbad,보물 182호 안동 임청각
37.7861623,128.8911352,,N,gb,bm,korea/gbm/zgugr,보물 183호 강릉 해운정
36.2353062,126.9469804,,N,gb,bm,korea/gbm/zcnby,보물 184호 부여 장하리 삼층석탑
36.4314324,128.6914242,,N,gb,bm,korea/gbm/zgbes,보물 188호 의성 관덕리 삼층석탑
36.4544818,126.8082939,,N,gb,bm,korea/gbm/zcncy,보물 197호 청양 읍내리 석조여래삼존입상
35.8167676,129.2294983,,N,gb,bm,korea/gbm/zgbgjc,보물 198호 경주 남산 불곡 마애여래좌상
35.8210178,129.2418595,,N,gb,bm,korea/gbm/zgbgjc,보물 201호 경주 남산 탑곡 마애불상군
35.6682794,128.922558,,N,gb,bm,korea/gbm/zgbcd,보물 203호 청도 박곡리 석조여래좌상
36.3653203,127.4414575,,N,gb,bm,korea/gbm/zdjdd,보물 209호 대전 회덕 동춘당
37.4408243,129.1605222,,N,gb,bm,korea/gbm/zgusc,보물 213호 삼척 죽서루
37.7635267,128.8952228,,N,gb,bm,korea/gbm/zgugr,보물 214호 강릉향교 대성전
36.1909599,126.9005999,,N,gb,bm,korea/gbm/zcnby,보물 217호 부여 대조사 석조미륵보살입상
36.2429605,127.230536,,N,gb,bm,korea/gbm/zcnns,보물 219호 논산 개태사지 석조여래삼존입상
36.8098875,128.6128366,,N,gb,bm,korea/gbm/zgbyj,보물 221호 영주 가흥동 마애여래삼존상 및 여래좌상
36.1473278,126.5987885,,N,gb,bm,korea/gbm/zcnsc,보물 224호 서천 성북리 오층석탑
35.5392837,128.4963876,,N,gb,bm,korea/gbm/zgncn,보물 227호 창녕 인양사 조성비
37.6027477,126.9612146,,N,gb,bm,korea/gbm/zsujr,보물 235호 서울 장의사지 당간지주
36.6579608,128.6679726,,N,gb,bm,korea/gbm/zgbad,보물 242호 안동 개목사 원통전
36.0889399,128.2723282,,N,gb,bm,korea/gbm/zgbgc,보물 245호 김천 갈항사지 석조여래좌상
36.4582655,128.7505794,,N,gb,bm,korea/gbm/zgbes,보물 246호 의성 고운사 석조여래좌상
36.0864988,128.326242,,N,gb,bm,korea/gbm/zgbcg,보물 251호 칠곡 선봉사 대각국사비
35.6340594,127.2100259,,N,gb,bm,korea/gbm/zjbisi,보물 267호 임실 진구사지 석등
35.6476162,127.5230785,,N,gb,bm,korea/gbm/zjbjs,보물 272호 장수향교 대성전
35.4039102,127.379802,,N,gb,bm,korea/gbm/zjbnu,보물 281호 남원 광한루
35.6513401,126.9429857,,N,gb,bm,korea/gbm/zjbje,보물 289호 정읍 피향정
35.5730497,127.7970011,,N,gb,bm,korea/gbm/zgnhy,보물 294호 함양 승안사지 삼층석탑
34.8499586,127.3384516,,N,gb,bm,korea/gbm/zjnbs,보물 304호 보성 벌교 홍교
36.5755586,128.7634652,,N,gb,bm,korea/gbm/zgbad,보물 305호 안동 석빙고
36.5390306,128.5167939,,N,gb,bm,korea/gbm/zgbad,보물 306호 안동 하회 양진당
35.813508,127.1475236,,N,gb,bm,korea/gbm/zjbjj,보물 308호 전주 풍남문
35.6144421,126.8257315,,N,gb,bm,korea/gbm/zjbje,보물 309호 정읍 천곡사지 칠층석탑
35.5425642,128.4984351,,N,gb,bm,korea/gbm/zgncn,보물 310호 창녕 석빙고
35.5597613,128.6280074,,N,gb,bm,korea/gbm/zgnmy,보물 312호 밀양 소태리 오층석탑
33.5133471,126.5215314,,N,gb,bm,korea/gbm/zjjjj,보물 322호 제주 관덕정
35.6495002,128.708413,,N,gb,bm,korea/gbm/zgbcd,보물 323호 청도 석빙고
36.2309042,128.7551408,,N,gb,bm,korea/gbm/zgbes,보물 327호 의성 빙산사지 오층석탑
35.1841922,126.8886976,,N,gb,bm,korea/gbm/zgjbg,보물 336호 정지장군 갑옷
35.7010706,128.3718068,,N,gb,bm,korea/gbm/zdgds,보물 350호 달성 도동서원 중정당·사당·담장
36.6495922,126.6532457,,N,gb,bm,korea/gbm/zcnhs,보물 355호 홍성 신경리 마애여래입상
35.6216745,129.0327993,,N,gb,bm,korea/gbm/zusuj,보물 369호 울주 석남사 승탑
